../data/final/netrd/SIS/timeseries_bull_200_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 1000
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 200
NUM_TRAIN_SAMPLES: 159
NUM_TRAIN_BATCHES: 2
NUM_TEST_SAMPLES: 40
NUM_TEST_BATCHES: 1
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 1000
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 194, run 0. Mean loss in evaluation epoch: 0.45462092757225037, epochs needed: 1000
evaluating: matrix 195, run 0. Mean loss in evaluation epoch: 0.46286410093307495, epochs needed: 1000
evaluating: matrix 196, run 0. Mean loss in evaluation epoch: 0.45908045768737793, epochs needed: 1000
evaluating: matrix 197, run 0. Mean loss in evaluation epoch: 0.47364044189453125, epochs needed: 1000
evaluating: matrix 198, run 0. Mean loss in evaluation epoch: 0.45290738344192505, epochs needed: 1000
evaluating: matrix 199, run 0. Mean loss in evaluation epoch: 0.4703757166862488, epochs needed: 1000
evaluating: matrix 200, run 0. Mean loss in evaluation epoch: 0.45160073041915894, epochs needed: 1000
evaluating: matrix 201, run 0. Mean loss in evaluation epoch: 0.46626293659210205, epochs needed: 1000
evaluating: matrix 202, run 0. Mean loss in evaluation epoch: 0.4491336941719055, epochs needed: 1000
evaluating: matrix 203, run 0. Mean loss in evaluation epoch: 0.4680050313472748, epochs needed: 1000
evaluating: matrix 204, run 0. Mean loss in evaluation epoch: 0.461084246635437, epochs needed: 1000
evaluating: matrix 205, run 0. Mean loss in evaluation epoch: 0.4690483808517456, epochs needed: 1000
evaluating: matrix 206, run 0. Mean loss in evaluation epoch: 0.45440438389778137, epochs needed: 1000
evaluating: matrix 207, run 0. Mean loss in evaluation epoch: 0.4844909906387329, epochs needed: 1000
evaluating: matrix 208, run 0. Mean loss in evaluation epoch: 0.46425381302833557, epochs needed: 1000
evaluating: matrix 209, run 0. Mean loss in evaluation epoch: 0.49389705061912537, epochs needed: 1000
