../data/final/cml/timeseries_bull_5k_4_onetake.pickle
../data/final/cml/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 10
FORMAT: standard
HIDDEN_SIZE: 128
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 4991
NUM_SAMPLES: 4991
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 10
IS_CONTINUOUS: True
NUM_BATCHES: 50
USE_MAX: False
evaluating: matrix 209, run 0. Mean loss in evaluation epoch: 0.19291380047798157, epochs needed: 10
evaluating: matrix 210, run 0. Mean loss in evaluation epoch: 0.17574161291122437, epochs needed: 10
evaluating: matrix 211, run 0. Mean loss in evaluation epoch: 0.19115835428237915, epochs needed: 10
evaluating: matrix 212, run 0. Mean loss in evaluation epoch: 0.1951361447572708, epochs needed: 10
evaluating: matrix 213, run 0. Mean loss in evaluation epoch: 0.1989489644765854, epochs needed: 10
evaluating: matrix 214, run 0. Mean loss in evaluation epoch: 0.17782539129257202, epochs needed: 10
evaluating: matrix 215, run 0. Mean loss in evaluation epoch: 0.19047267735004425, epochs needed: 10
evaluating: matrix 216, run 0. Mean loss in evaluation epoch: 0.16824054718017578, epochs needed: 10
evaluating: matrix 217, run 0. Mean loss in evaluation epoch: 0.1957443356513977, epochs needed: 10
evaluating: matrix 218, run 0. Mean loss in evaluation epoch: 0.17561645805835724, epochs needed: 10
evaluating: matrix 219, run 0. Mean loss in evaluation epoch: 0.18989798426628113, epochs needed: 10
evaluating: matrix 220, run 0. Mean loss in evaluation epoch: 0.17120689153671265, epochs needed: 10
evaluating: matrix 221, run 0. Mean loss in evaluation epoch: 0.196611225605011, epochs needed: 10
evaluating: matrix 222, run 0. Mean loss in evaluation epoch: 0.16800141334533691, epochs needed: 10
evaluating: matrix 223, run 0. Mean loss in evaluation epoch: 0.18264029920101166, epochs needed: 10
